real_image_0320.png: MSE=36.8347, PSNR=20.11, SSIM=0.8140, CER=0.4101
random_text_0319.png: MSE=33.7560, PSNR=17.31, SSIM=0.8680, CER=0.2843
real_image_0108.png: MSE=51.6459, PSNR=16.97, SSIM=0.6988, CER=0.7755
random_text_0286.png: MSE=37.3655, PSNR=16.71, SSIM=0.8331, CER=0.4414
random_text_0292.png: MSE=33.7759, PSNR=17.96, SSIM=0.8705, CER=0.2363
random_text_0293.png: MSE=27.7786, PSNR=17.95, SSIM=0.8695, CER=0.4368
random_text_0287.png: MSE=27.8365, PSNR=18.13, SSIM=0.8796, CER=0.1053
real_image_0445.png: MSE=33.9632, PSNR=20.43, SSIM=0.8535, CER=0.2206
real_image_0525.png: MSE=51.5878, PSNR=16.36, SSIM=0.6839, CER=0.7145
random_text_0318.png: MSE=31.1289, PSNR=18.26, SSIM=0.8834, CER=0.1995
random_text_0320.png: MSE=31.5781, PSNR=18.37, SSIM=0.8705, CER=0.2395
real_image_0535.png: MSE=46.1561, PSNR=16.00, SSIM=0.7071, CER=0.5427
random_text_0308.png: MSE=38.3987, PSNR=17.08, SSIM=0.8347, CER=0.4933
real_image_0290.png: MSE=56.9640, PSNR=16.09, SSIM=0.7100, CER=0.4536
real_image_0455.png: MSE=98.2620, PSNR=14.89, SSIM=0.6238, CER=0.5334
random_text_0297.png: MSE=39.1993, PSNR=17.19, SSIM=0.8495, CER=0.4184
random_text_0296.png: MSE=28.5923, PSNR=18.18, SSIM=0.8899, CER=0.1386
real_image_0118.png: MSE=56.0217, PSNR=18.05, SSIM=0.7212, CER=0.9709
real_image_0087.png: MSE=80.8012, PSNR=19.86, SSIM=0.7421, CER=0.8258
random_text_0309.png: MSE=30.7014, PSNR=18.19, SSIM=0.8832, CER=0.1380
real_image_0330.png: MSE=48.9365, PSNR=18.57, SSIM=0.7366, CER=0.6024
random_text_0294.png: MSE=36.4947, PSNR=17.47, SSIM=0.8531, CER=0.3819
real_image_0495.png: MSE=48.5840, PSNR=18.34, SSIM=0.7572, CER=0.7630
random_text_0295.png: MSE=32.3501, PSNR=18.31, SSIM=0.8828, CER=0.2899
real_image_0279.png: MSE=34.6055, PSNR=20.04, SSIM=0.8410, CER=0.2021

Final Averages:
Avg MSE: 50.1645
Avg PSNR: 17.63
Avg SSIM: 0.7518
Avg CER: 0.5407
